id,slug,title,synopsis,year,duration,rating,thumbnail,poster,trailerUrl,videoUrl,videoType,tags,moods,cast,director,__v,createdAt,updatedAt,videoHeaders
v-n-may,v-n-may,Vận May ,"Gabriel, một thiên thần thừa lòng tốt nhưng thiếu kỹ năng, tự dưng đi can thiệp vào cuộc sống của một anh nhân viên thời vụ lương ba cọc ba đồng và một đại gia chuyên đầu tư mạo hiểm, rồi làm rối tung rối mù hết cả lên.",2025,1h 38m,4.5,https://static.nutscdn.com/vimg/300-0/b4f0ad68a856b7f1e7e431d56cf9c910.webp,https://static.nutscdn.com/vimg/300-0/7bb9067254399813bbbf9a14567f23a3.jpg,,https://mistcloud50.pro/hls/4GlI04oK6NYYOA5hT0kgrnNefqJWX8DxAggLGBlTN4C71KwQHlLCLJPBrLfxHNjzJKW69Hj+q96yV4QFnZd4-g==/bWFzdGVyLm0zdTg=.m3u8,mp4,"['Hành động', 'Hài']","['Hành động', 'Khoa học viễn tưởng']","['Keanu Reeves', 'Aziz Ansari']",Aziz Ansari,0,2025-11-26 02:46:31.880,2025-11-26 02:46:31.880,
th-tr-n-baramulla,th-tr-n-baramulla,Thị Trấn Baramulla,"Điều tra về vụ bắt cóc trẻ em, viên cảnh sát nọ lật mở những bí mật rùng rợn khi hàng loạt sự kiện siêu nhiên đe dọa gia đình anh và thị trấn yên bình Baramulla.",2025,2h,4.5,https://static.nutscdn.com/vimg/300-0/70b005f1011f692f90ed0805900ccb0b.jpg,https://static.nutscdn.com/vimg/300-0/70b005f1011f692f90ed0805900ccb0b.jpg,,https://owakshina.store/hls/v3dZoW0M3NgIRk1qeowM5jIh-EXIAKjpuc3a305H1N6NJtqNqKfpRfBXZeUGqelztHM3G99lYCxWU3MvEZGmMg==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Hành động', 'Sci-fi']","['Hành động', 'Khoa học viễn tưởng']","['Manav Kaul', 'Neelofar Hamid']",Aditya Suhas Jambhale,0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
r-c-r-i-s-m-panh,r-c-r-i-s-m-panh,Rắc Rối Sâm Panh,Một giám đốc điều hành người Mỹ đầy nhiệt huyết đến Paris với quyết tâm mua lại một thương hiệu sâm panh trước Giáng sinh – rồi vô tình phải lòng người thừa kế đế chế sâm panh đó.,2025,1h 20m,6.2,https://static.nutscdn.com/vimg/300-0/390535064ab9a37387948e796eb8482d.jpg,https://static.nutscdn.com/vimg/300-0/390535064ab9a37387948e796eb8482d.jpg,,https://snowbreeze49.live/hls/fFTZm24anhb36dUphRT4PSOBhoAhBvk2SJMjTa3eAmZqCpZRyvBsUCMVrEypQVUDn+I7MYd6OCjP7UqauhWxHQ==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Tình cảm', 'hài']","['Hành động', 'Khoa học viễn tưởng']","['Otto Moller', 'Ryan Garner']",,0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
cu-c-phi-u-l-u-trong-gi-c-m-ng,cu-c-phi-u-l-u-trong-gi-c-m-ng,Cuộc Phiêu Lưu Trong Giấc Mộng,Bộ đôi chị gái và em trai nọ phiêu lưu khắp vùng đất siêu quái đản trong mơ để thỉnh cầu Người Cát ban cho họ một gia đình hoàn hảo.,2025,1h 31m,6.5,https://static.nutscdn.com/vimg/300-0/30c8efeb97b346cab8a8c230c8b94096.jpg,https://static.nutscdn.com/vimg/300-0/21ef81e8096918ce76d47f372d367172.jpg,,https://owakshina.store/hls/3OJcM31O2gJ-mKKjGz-wTGTbJzjuwr7VdS0mCbCuMtGRuqAntDmY5-U-JH8+R8JU3JikhC3wIKz6-izBjcnSKQ==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Gia đình', 'hài', 'viễn tưởng']","['Hành động', 'Khoa học viễn tưởng']","['Elias Janssen', 'Jolie Hoang-Rappaport']","Erik Benson, Alex Woo",0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
k-x-u,k-x-u,Kẻ Xấu,"ại thị trấn Colt Lake, bang Tennessee, Sam Evans đang nỗ lực đối phó với nạn ma túy đá hoành hành. Tuy nhiên, khi điệp viên ngầm Bobby Gaines xuất hiện, Evans bị gạt sang một bên. Dù Evans có mối quan hệ sâu sắc với dân địa phương, Gaines lại được ca ngợi như một anh hùng. Nhưng rồi, những nghi ngờ quanh con người thật của Gaines bắt đầu xuất hiện, dần hé lộ một câu chuyện phức tạp và đầy uẩn khúc phía sau.",2025,1h 37m,4.8,https://static.nutscdn.com/vimg/300-0/e08064026262cfc3579f52dd5075d0ae.jpg,https://static.nutscdn.com/vimg/300-0/e08064026262cfc3579f52dd5075d0ae.jpg,,https://hitmefirstcdn.store/hls/z0VHjHwwxRz+APx8Vy+7gcZayOX4-CVDt84qDMQY0qhAkHg38eHhKpuBJmKSdoJfqo2h3CywAQww5XUmJZZOMg==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Hành động', 'Hài']","['Hành động', 'Khoa học viễn tưởng']","['Seann William Scott', 'Johnny Simmons']",Michael Diliberti,0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
hoa-h-ng-c-gai,hoa-h-ng-c-gai,Hoa Hồng Có Gai,"Cuộc sống của Ivy và Theo tưởng chừng hoàn hảo: sự nghiệp thành công, hôn nhân hạnh phúc, con cái ngoan ngoãn. Nhưng đằng sau lớp vỏ của một gia đình lý tưởng ấy là cơn bão ngầm đang dần hình thành — khi sự nghiệp của Theo tuột dốc trong khi tham vọng của Ivy thăng hoa, thổi bùng lên ngọn lửa ganh đua và oán giận âm ỉ có thể thiêu rụi tất cả.",2025,1h 45m,6.7,https://static.nutscdn.com/vimg/300-0/37c692b0ec5829f74f87e4a0ba34e13f.jpg,https://static.nutscdn.com/vimg/300-0/37c692b0ec5829f74f87e4a0ba34e13f.jpg,,https://owakshina.store/hls/KFB6tRg8g4XFCwt2+6l76rXCpRf4YnQRzH3QNwFGe5npvxHlsYc63qxbJXoWM6+n5OW92OVPjrWfssec-ZC54w==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Tình Cảm', 'Gia Đình', 'Hài', 'Lãng Mạn']","['Hành động', 'Khoa học viễn tưởng']","['Olivia Colman', 'Benedict Cumberbatch', 'Andy Samberg']","James Excell, Joe Payne, Sophie Graham, Sophy Taylor, Alana Marmion-Warr, Jay Roach, Jessica Laws",0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
frankenstein,frankenstein,Frankenstein,Đạo diễn đoạt giải Oscar Guillermo del Toro tái hiện câu chuyện kinh điển của Mary Shelley về một nhà khoa học lỗi lạc và tạo vật mà tham vọng quái dị của anh tạo ra.,2025,2h 30m,7.5,https://static.nutscdn.com/vimg/300-0/d28bfd4cc191a1d2de53f0fc87ee38da.webp,https://static.nutscdn.com/vimg/300-0/d28bfd4cc191a1d2de53f0fc87ee38da.webp,, https://hitmefirstcdn.store/hls/IeoCtJCpzwQGd-1PGW1rvW6iBAuPACPe6ACofCiN+f5-hlua037Ddv4oIDFdoaKiSnkDdRdXATCosOwhjCntvWRWDG0vTU2Z7qqskgXgVZg=/bWFzdGVyLm0zdTg=.m3u8,hls,"['Kinh Dị', 'Cổ Điển', 'Khoa Học', 'Viễn Tưởng']","['Hành động', 'Khoa học viễn tưởng']","['Oscar Isaac', 'Jacob Elordi', 'Mia Goth']","Guillermo del Toro, Dug Rotstein",0,2025-11-26 02:46:31.881,2025-11-26 02:46:31.881,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
phi-v-b-n,phi-v-b-n,Phi Vụ Bẩn,"Một siêu trộm mang tên Parker bước vào phi vụ táo bạo nhất đời mình – một vụ cướp có thể thay đổi tất cả. Để thành công, anh phải vượt qua những kẻ thù nguy hiểm nhất: một nhà độc tài khét tiếng Nam Mỹ, băng mafia New York tàn nhẫn, và một tỷ phú quyền lực thao túng cả thế giới.Giữa mê cung của lừa lọc, phản bội và những màn đấu trí nghẹt",2025,2h 05m,5.9,https://static.nutscdn.com/vimg/300-0/891e5bab5fa7b54e207f9f7622a419ab.jpg,https://static.nutscdn.com/vimg/300-0/891e5bab5fa7b54e207f9f7622a419ab.jpg,,https://quetinuk271.site/hls/jxjPlXMnYEzzAPXR-DmaqcScDFc5mV5VNSGJsDPordFjUnIKfSilKLwjiBJWSpiqV0k5ZZA9rMMLWeL3BQ1VtexK5elreWU6663pT9Xot8I=/bWFzdGVyLm0zdTg=.m3u8,hls,"['Chính Kịch', 'Hành Động', 'Gay Cấn', 'Hình Sự']","['Hành động', 'Khoa học viễn tưởng']","['Mark Wahlberg', 'LaKeith Stanfield', 'Rosa Salazar']",Phi Vụ Bẩn,0,2025-11-26 02:46:31.882,2025-11-26 02:46:31.882,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
c-m-y-nghi-n,c-m-y-nghi-n,Cỗ Máy Nghiền,"Vào cuối những năm 1990, võ sĩ MMA đầy triển vọng Mark Kerr khao khát trở thành tay đấm vĩ đại nhất thế giới. Tuy nhiên, anh cũng phải chiến đấu với cơn nghiện thuốc và mối quan hệ đầy biến động với bạn gái Dawn.",2025,2h 03m,6.5,https://static.nutscdn.com/vimg/300-0/b29e519c5480544c6b6f07cec11945ff.jpg,https://static.nutscdn.com/vimg/300-0/b29e519c5480544c6b6f07cec11945ff.jpg,, https://quetinuk271.site/hls/z59u0a9zXTXAkrR0vCmsCQOKIbYCEfQwxSERKZGZCl0jrYelDoRaZ5S-zCZAbajNIBwVAt+eyvoAb4tLwaRLfw==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Chính Kịch', 'Hành Động', 'Chiếu Rạp', 'Gay Cấn', 'Cổ Điển', 'Tập Luyện', 'Thể Thao']","['Hành động', 'Khoa học viễn tưởng']","['Dwayne Johnson', 'Emily Blunt', 'Ryan Bader']","Hannah Christine Kess, Misha Bukowski, Benny Safdie, David Tierney Lerner, Joel Cyr, Peter McGrew, Silver Butler, Hannah Broad",0,2025-11-26 02:46:31.882,2025-11-26 02:46:31.882,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
g-qu-n-tr,g-qu-n-tr,Gã Quản Trò,"Bốn người bị mắc kẹt trong một chương trình trò chơi tàn bạo, nơi họ buộc phải đấu trí với một tên sát nhân hàng loạt biến thái trong cuộc đua nghẹt thở với thời gian. Mỗi bước đi có thể đưa họ đến tự do — hoặc đến một cái kết kinh hoàng.",2025, 1h 29m,4.8,https://static.nutscdn.com/vimg/300-0/56db57e0cdf49d1a2c76a94207707b87.jpg,https://static.nutscdn.com/vimg/300-0/56db57e0cdf49d1a2c76a94207707b87.jpg,,https://sunfog88.live/hls/7GeDjhst35RY1SYsKtm4tiZL--MqCsggZDWMblfIqzrULPXdPn0+50wH8lcgkpH76jZPeltNzBNdP5QRw+CWXQ==/bWFzdGVyLm0zdTg=.m3u8,hls,"['Gay Cấn', 'Kinh Dị', 'Tâm Lý']","['Hành động', 'Khoa học viễn tưởng']","['Ella-Rae Smith', 'Jamie Flatters']",D.W. Medoff,0,2025-11-26 02:46:31.882,2025-11-26 02:46:31.882,"{'accept': '*/*', 'accept-language': 'vi-VN,vi;q=0.9,zh-CN;q=0.8,zh;q=0.7,fr-FR;q=0.6,fr;q=0.5,en-US;q=0.4,en;q=0.3', 'cache-control': 'no-cache', 'pragma': 'no-cache', 'priority': 'u=1, i', 'sec-ch-ua': '""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""', 'sec-ch-ua-mobile': '?0', 'sec-ch-ua-platform': '""Windows""', 'sec-fetch-dest': 'empty', 'sec-fetch-mode': 'cors', 'sec-fetch-site': 'cross-site', 'Referer': 'https://goatembed.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36'}"
